cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,point
333,5,0,2018-10-01 10:16:00,-56.1172423986928,-34.89712692810457,10,5,2018-10-01 09:26:00,19,3,POINT (-56.1172423986928 -34.89712692810457)
334,0,0,2018-10-01 13:17:00,-56.191913,-34.881991,5,5,2018-10-01 12:54:00,0,1,POINT (-56.191913 -34.881991)
335,0,0,2018-10-01 17:12:00,-56.1106,-34.790651,5,5,2018-10-01 17:02:00,0,1,POINT (-56.1106 -34.790651)
336,0,0,2018-10-01 17:51:00,-56.162773,-34.855534,5,5,2018-10-01 17:41:00,0,1,POINT (-56.162773 -34.855534)
337,0,0,2018-10-01 18:53:00,-56.15599,-34.891574,6,5,2018-10-01 18:43:00,1,1,POINT (-56.15599 -34.891574)
338,5,0,2018-10-01 21:05:00,-56.095657499999994,-34.884937125,10,5,2018-10-01 18:40:00,21,8,POINT (-56.09565749999999 -34.884937125)
339,0,0,2018-10-01 19:13:00,-56.194459,-34.905176,5,5,2018-10-01 18:57:00,0,1,POINT (-56.194459 -34.905176)
340,2,0,2018-10-01 20:11:00,-56.11897690625,-34.8977761875,10,5,2018-10-01 19:37:00,9,2,POINT (-56.11897690625 -34.8977761875)
341,0,0,2018-10-01 21:07:00,-56.091428,-34.883669999999995,7,5,2018-10-01 19:44:00,2,2,POINT (-56.091428 -34.88367)
342,0,0,2018-10-02 07:27:00,-56.1927,-34.808675,6,5,2018-10-02 07:06:00,1,1,POINT (-56.1927 -34.808675)
343,2,0,2018-10-02 10:41:00,-56.18820200000001,-34.88899416666667,9,5,2018-10-02 07:50:00,10,6,POINT (-56.18820200000001 -34.88899416666667)
344,2,0,2018-10-02 09:14:00,-56.16995025,-34.899631,9,5,2018-10-02 08:03:00,5,4,POINT (-56.16995025 -34.899631)
345,0,0,2018-10-02 09:00:00,-56.134643,-34.805941,5,5,2018-10-02 08:39:00,0,1,POINT (-56.134643 -34.805941)
346,2,0,2018-10-02 11:55:00,-56.165707000000005,-34.8870995,10,5,2018-10-02 08:09:00,19,6,POINT (-56.165707 -34.8870995)
347,0,0,2018-10-02 09:46:00,-56.163533,-34.908616,5,5,2018-10-02 09:27:00,0,1,POINT (-56.163533 -34.908616)
348,0,0,2018-10-02 09:43:00,-56.163669,-34.911696,5,5,2018-10-02 09:32:00,0,1,POINT (-56.163669 -34.911696)
349,0,0,2018-10-02 11:14:00,-56.1700725,-34.899651500000004,6,5,2018-10-02 10:36:00,1,2,POINT (-56.1700725 -34.8996515)
350,0,0,2018-10-02 12:23:00,-56.19528666666667,-34.90239366666666,6,5,2018-10-02 11:44:00,0,3,POINT (-56.19528666666667 -34.90239366666666)
351,1,0,2018-10-02 13:57:00,-56.198609999999995,-34.8814455,7,5,2018-10-02 10:49:00,2,4,POINT (-56.19861 -34.8814455)
352,0,0,2018-10-02 13:13:00,-56.165418,-34.876603,6,5,2018-10-02 12:52:00,1,1,POINT (-56.165418 -34.876603)
353,0,0,2018-10-16 21:01:00,-56.221032,-34.831344,5,5,2018-10-16 20:57:00,0,1,POINT (-56.221032 -34.831344)
354,1,0,2018-10-17 12:38:00,-56.184989,-34.892809,8,5,2018-10-17 11:44:00,3,2,POINT (-56.184989 -34.892809)
355,0,0,2018-10-17 13:38:00,-56.163453,-34.855726,5,5,2018-10-17 13:12:00,0,1,POINT (-56.163453 -34.855726)
356,0,0,2018-10-17 13:41:00,-56.132868,-34.884504,5,5,2018-10-17 13:22:00,0,1,POINT (-56.132868 -34.884504)
357,0,0,2018-10-17 15:55:00,-56.138306,-34.887334,5,5,2018-10-17 15:37:00,0,1,POINT (-56.138306 -34.887334)
358,0,0,2018-10-17 15:37:00,-56.279791,-34.842597,5,5,2018-10-17 15:33:00,0,1,POINT (-56.279791 -34.842597)
359,0,0,2018-10-17 17:47:00,-56.1988,-34.848645,5,5,2018-10-17 17:28:00,0,1,POINT (-56.1988 -34.848645)
360,0,0,2018-10-17 18:42:00,-56.22322,-34.854368,6,5,2018-10-17 18:31:00,1,1,POINT (-56.22322 -34.854368)
361,0,0,2018-10-17 18:59:00,-56.160034,-34.914537,6,5,2018-10-17 18:38:00,1,1,POINT (-56.160034 -34.914537)
362,0,0,2018-10-17 19:51:00,-56.084906,-34.881947,5,5,2018-10-17 19:26:00,0,1,POINT (-56.084906 -34.881947)
363,0,0,2018-10-17 21:58:00,-56.137742,-34.882215,5,5,2018-10-17 21:35:00,0,1,POINT (-56.137742 -34.882215)
364,1,0,2018-10-18 07:45:00,-56.064741,-34.888384,7,5,2018-10-18 07:16:00,2,1,POINT (-56.064741 -34.888384)
365,0,0,2018-10-18 10:06:00,-56.183173,-34.881541,6,5,2018-10-18 09:47:00,0,1,POINT (-56.183173 -34.881541)
366,0,0,2018-10-15 15:06:00,-56.181127,-34.881654,5,5,2018-10-15 14:47:00,0,1,POINT (-56.181127 -34.881654)
367,0,0,2018-10-15 15:24:00,-56.171687,-34.911772,5,5,2018-10-15 15:08:00,0,1,POINT (-56.171687 -34.911772)
368,0,0,2018-10-15 18:01:00,-56.208723,-34.838252,5,5,2018-10-15 17:46:00,0,1,POINT (-56.208723 -34.838252)
369,0,0,2018-10-15 20:22:00,-56.158845,-34.870828,5,5,2018-10-15 20:03:00,0,1,POINT (-56.158845 -34.870828)
370,0,0,2018-10-15 20:31:00,-56.127867,-34.856711,5,5,2018-10-15 20:15:00,0,1,POINT (-56.127867 -34.856711)
371,0,0,2018-10-15 06:43:00,-56.20153,-34.843126,5,5,2018-10-15 06:27:00,0,1,POINT (-56.20153 -34.843126)
372,0,0,2018-10-15 21:52:00,-56.136814,-34.841782,6,6,2018-10-15 21:31:00,0,1,POINT (-56.136814 -34.841782)
373,0,0,2018-10-16 07:48:00,-56.061374,-34.89628,7,5,2018-10-16 07:30:00,1,1,POINT (-56.061374 -34.89628)
374,0,0,2018-10-16 08:16:00,-56.159465,-34.895738,6,5,2018-10-16 07:57:00,0,1,POINT (-56.159465 -34.895738)
375,0,0,2018-10-16 16:12:00,-56.1481815,-34.8961625,5,5,2018-10-16 15:59:00,0,2,POINT (-56.1481815 -34.8961625)
376,0,0,2018-10-13 07:21:00,-56.196247,-34.887994,5,5,2018-10-13 07:15:00,0,1,POINT (-56.196247 -34.887994)
377,0,0,2018-10-13 16:24:00,-56.181591999999995,-34.904075000000006,6,5,2018-10-13 15:34:00,1,2,POINT (-56.18159199999999 -34.90407500000001)
378,0,0,2018-10-13 18:44:00,-56.220577999999996,-34.815118000000005,5,5,2018-10-13 17:35:00,0,3,POINT (-56.220578 -34.81511800000001)
379,0,0,2018-10-13 18:07:00,-56.148183,-34.827984,5,5,2018-10-13 18:00:00,0,1,POINT (-56.148183 -34.827984)
380,0,0,2018-10-13 21:12:00,-56.186189,-34.849496,5,5,2018-10-13 20:54:00,0,1,POINT (-56.186189 -34.849496)
381,0,0,2018-10-14 12:46:00,-56.137135,-34.886709,5,5,2018-10-14 12:22:00,0,1,POINT (-56.137135 -34.886709)
382,0,0,2018-10-14 20:47:00,-56.142022,-34.908411,5,5,2018-10-14 20:38:00,0,1,POINT (-56.142022 -34.908411)
383,0,0,2018-10-10 21:08:00,-56.266163,-34.882178,5,5,2018-10-10 20:47:00,0,1,POINT (-56.266163 -34.882178)
384,0,0,2018-10-11 07:51:00,-56.096018,-34.875161,5,5,2018-10-11 07:32:00,0,1,POINT (-56.096018 -34.875161)
385,0,0,2018-10-11 08:02:00,-56.196943,-34.854678,5,5,2018-10-11 07:42:00,0,1,POINT (-56.196943 -34.854678)
386,0,0,2018-10-11 09:24:00,-56.173351,-34.879146,5,5,2018-10-11 08:59:00,0,1,POINT (-56.173351 -34.879146)
387,0,0,2018-10-11 13:38:00,-56.138175,-34.906117,6,5,2018-10-11 12:38:00,1,3,POINT (-56.138175 -34.906117)
388,0,0,2018-10-11 14:37:00,-56.182809,-34.870923,7,5,2018-10-11 14:21:00,1,1,POINT (-56.182809 -34.870923)
389,0,0,2018-10-01 19:46:00,-56.167048,-34.875593,5,5,2018-10-01 19:24:00,0,1,POINT (-56.167048 -34.875593)
390,0,0,2018-10-01 20:23:00,-56.1543615,-34.916077,6,5,2018-10-01 19:18:00,1,2,POINT (-56.1543615 -34.916077)
391,0,0,2018-10-02 08:12:00,-56.25082,-34.875631999999996,5,5,2018-10-02 07:56:00,0,2,POINT (-56.25082 -34.875632)
392,0,0,2018-10-02 08:36:00,-56.169709,-34.862639,5,5,2018-10-02 08:23:00,0,1,POINT (-56.169709 -34.862639)
393,0,0,2018-10-02 08:48:00,-56.187725,-34.886001,6,5,2018-10-02 08:33:00,1,2,POINT (-56.187725 -34.886001)
394,0,0,2018-10-02 11:49:00,-56.167054,-34.898897,5,5,2018-10-02 11:29:00,0,1,POINT (-56.167054 -34.898897)
395,0,0,2018-10-02 15:16:00,-56.182008,-34.882751,5,5,2018-10-02 14:57:00,0,1,POINT (-56.182008 -34.882751)
396,0,0,2018-10-02 16:17:00,-56.171319,-34.89517,5,5,2018-10-02 16:03:00,0,1,POINT (-56.171319 -34.89517)
397,0,0,2018-10-02 16:35:00,-56.064437,-34.897981,5,5,2018-10-02 16:26:00,0,1,POINT (-56.064437 -34.897981)
398,0,0,2018-10-02 18:51:00,-56.13567,-34.905302,5,5,2018-10-02 18:34:00,0,1,POINT (-56.13567 -34.905302)
399,0,0,2018-10-02 19:41:00,-56.088517,-34.883397,6,5,2018-10-02 19:19:00,0,1,POINT (-56.088517 -34.883397)
400,0,0,2018-10-02 22:29:00,-56.15511985714286,-34.896493,6,5,2018-10-02 19:34:00,2,7,POINT (-56.15511985714286 -34.896493)
401,1,0,2018-10-03 11:22:00,-56.1234338,-34.8967918,7,5,2018-10-03 08:41:00,1,5,POINT (-56.1234338 -34.8967918)
402,0,0,2018-10-03 10:09:00,-56.165247,-34.794687,5,5,2018-10-03 09:43:00,0,1,POINT (-56.165247 -34.794687)
