"uuid","start_time","end_time","location_x","location_y","reliability_min","reliability_max","confidence_min","confidence_max","thumbs_up"
"fcfaab11-4db4-3bbe-9393-87d328e96f82","2019-02-04 08:24:00.000 America/Sao_Paulo","2019-02-04 09:08:00.000 America/Sao_Paulo","-46.63060199999998","-23.519746000000026","5","5","0","0","0"
"4cd646bd-d4a0-3f0e-847f-85c496d38c61","2019-02-04 06:30:00.000 America/Sao_Paulo","2019-02-04 07:36:00.000 America/Sao_Paulo","-46.700127999999964","-23.572208999999987","5","6","0","0","0"
"eab71503-5f2e-3eec-a2f1-16addfac2da4","2019-02-04 05:38:00.000 America/Sao_Paulo","2019-02-04 07:38:00.000 America/Sao_Paulo","-46.678629","-23.66403399999996","5","5","0","0","0"
"448edcea-224d-3ad8-92fa-8dbf46ccaf4d","2019-02-04 03:28:00.000 America/Sao_Paulo","2019-02-04 04:28:00.000 America/Sao_Paulo","-46.69525599999998","-23.680646000000017","5","5","0","0","0"
"a467f966-2aa2-3e67-89eb-e5a84dcea351","2019-02-04 02:48:00.000 America/Sao_Paulo","2019-02-04 03:48:00.000 America/Sao_Paulo","-46.607546000000035","-23.528647999999983","5","5","0","0","0"
"33819ca7-f849-3f25-9b16-34aba7bead2d","2019-02-04 06:02:00.000 America/Sao_Paulo","2019-02-04 07:35:00.000 America/Sao_Paulo","-46.68748700000006","-23.74893399999999","5","6","0","0","1"
"8b7b04ec-ad8d-3093-a611-5b1350bd9109","2019-02-04 03:33:00.000 America/Sao_Paulo","2019-02-04 04:32:00.000 America/Sao_Paulo","-46.687008000000006","-23.501168000000003","5","5","0","0","0"
"33c3ac39-0edc-3ccf-8ad0-de1336d02ffe","2019-02-04 08:13:00.000 America/Sao_Paulo","2019-02-04 08:29:00.000 America/Sao_Paulo","-46.67914399999999","-23.694981999999996","5","5","0","0","0"
"2a08109b-d3cc-342f-933c-80fe0172ef5e","2019-02-04 09:15:00.000 America/Sao_Paulo","2019-02-04 09:53:00.000 America/Sao_Paulo","-46.60840099999998","-23.531627999999994","5","5","0","0","0"
"ead2423d-b141-32dd-a47f-382a78e93aab","2019-02-04 09:54:00.000 America/Sao_Paulo","2019-02-04 10:53:00.000 America/Sao_Paulo","-46.694137999999974","-23.51313800000002","5","5","0","0","0"
"6a556660-f448-3475-93a0-9b445eb0576f","2019-02-04 10:19:00.000 America/Sao_Paulo","2019-02-04 11:44:00.000 America/Sao_Paulo","-46.65787899999996","-23.561684999999954","5","9","0","1","3"
"7e2c5bf5-d364-3d05-bfe6-e68adec15daf","2019-02-04 03:45:00.000 America/Sao_Paulo","2019-02-04 07:39:00.000 America/Sao_Paulo","-46.64716500000017","-23.518479999999986","7","10","1","5","26"
"e926129c-2e4b-3b23-aa44-0a4f066db36e","2019-02-04 06:15:00.000 America/Sao_Paulo","2019-02-04 07:36:00.000 America/Sao_Paulo","-46.724681000000054","-23.42689999999998","5","7","0","1","2"
"f7cfcd78-a274-35c6-9f82-9b4a267d2c70","2019-02-04 07:47:00.000 America/Sao_Paulo","2019-02-04 08:12:00.000 America/Sao_Paulo","-46.55887099999998","-23.510741999999997","6","10","0","4","8"
"64cc6af8-3d97-3b00-b1f0-07074e86831b","2019-02-04 08:22:00.000 America/Sao_Paulo","2019-02-04 10:03:00.000 America/Sao_Paulo","-46.67359300000004","-23.69693800000003","5","10","0","3","6"
"37b0a285-e9f5-3c7f-96b9-771fff4514f2","2019-02-04 08:15:00.000 America/Sao_Paulo","2019-02-04 09:14:00.000 America/Sao_Paulo","-46.588643999999974","-23.525291000000013","6","6","0","0","1"
"3c904e9c-5234-3146-976f-1083c312d429","2019-02-04 09:31:00.000 America/Sao_Paulo","2019-02-04 10:31:00.000 America/Sao_Paulo","-46.60074299999997","-23.621775999999972","5","5","0","0","0"
"a64aee68-f5be-33e9-a319-6f8c7d9dd687","2019-02-04 05:05:00.000 America/Sao_Paulo","2019-02-04 06:05:00.000 America/Sao_Paulo","-46.72911100000007","-23.515515999999998","5","5","0","0","0"
"4a40fd4d-14dc-372c-b8e1-bbc910c28e19","2019-02-04 06:33:00.000 America/Sao_Paulo","2019-02-04 07:33:00.000 America/Sao_Paulo","-46.559706","-23.51127199999998","6","6","0","0","1"
"8c6a63cd-35f1-33e3-9938-8f8fc4d02010","2019-02-04 20:23:00.000 America/Sao_Paulo","2019-02-04 21:22:00.000 America/Sao_Paulo","-46.76456199999998","-23.593000999999976","5","6","0","0","0"
"79acf423-d8f4-3604-93ab-85b1d0dd4224","2019-02-04 03:21:00.000 America/Sao_Paulo","2019-02-04 04:20:00.000 America/Sao_Paulo","-46.677988999999954","-23.665381999999983","5","6","0","0","1"
